bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-001_ses-022_task-qct_dir-AP_echo-1_part-mag_bold	[0.001394795918367347, 0.0015776530612244901, 0.0017024489795918365, 0.0019162244897959182]	[0.003109596224489796, 0.004351235204081633, 0.007090729183673469, 0.01265223469387755]	1	29.612127874432996	1.0840750911340202	1.0357899681443297	0.5808	614.9959	0.128928717389598	10	10.204081632653061	3.4990604034605073	3.1691052148378116	3.5565715318343223	3.7715044637093875	[0.0125695, 0.0139322, 0.0128142, 0.0101298]	0.0009869660716503859	0.11682933568954468	98	96	96	60	2.3461595494084815	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	10.0243	21.2103	133.9197	32.0	416649.0	0.0	670.0	238.2757	1.8235	302.8291	840.9475	799.0	136311.0	357.0	1430.0	340.5553	51.25897451443598
sub-001_ses-022_task-qct_dir-AP_echo-2_part-mag_bold	[0.001394795918367347, 0.0015776530612244901, 0.0017024489795918365, 0.0019162244897959182]	[0.003109596224489796, 0.004351235204081633, 0.007090729183673469, 0.01265223469387755]	1	40.46774201536081	1.0728714429896908	1.0355125624742267	0.5143	590.2234	0.128928717389598	10	10.204081632653061	3.2084538972143144	3.028217471805544	3.426789743098437	3.1703544767389626	[0.0125695, 0.0139322, 0.0128142, 0.0101298]	0.014371542260050774	0.031063249334692955	98	96	96	60	1.9376623915056477	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	31.174	5.8094	43.285	21.0	416649.0	0.0	159.0	72.4738	1.4697	227.6551	535.5918	515.0	136311.0	89.0	994.0	265.7832	36.06716127996333
sub-001_ses-022_task-qct_dir-AP_echo-3_part-mag_bold	[0.001394795918367347, 0.0015776530612244901, 0.0017024489795918365, 0.0019162244897959182]	[0.003109596224489796, 0.004351235204081633, 0.007090729183673469, 0.01265223469387755]	1	57.21867815000001	1.0742662012371131	1.0365499094845363	0.498	306.3628	0.128928717389598	10	10.204081632653061	2.901540426703182	2.7702281098956525	3.1371977762960146	2.7971953939178773	[0.0125695, 0.0139322, 0.0128142, 0.0101298]	0.008504388853907585	0.0203297920525074	98	96	96	60	1.6471389068807711	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	56.3101	2.9955	25.5928	19.0	416649.0	0.0	62.0	27.7584	2.2789	173.1468	344.571	333.0	136311.0	38.0	695.0	202.168	24.441260518622585
sub-001_ses-022_task-qct_dir-AP_echo-4_part-mag_bold	[0.001394795918367347, 0.0015776530612244901, 0.0017024489795918365, 0.0019162244897959182]	[0.003109596224489796, 0.004351235204081633, 0.007090729183673469, 0.01265223469387755]	1	84.24534583298971	1.080581472371134	1.0386985831958764	0.5035	131.0264	0.128928717389598	10	10.204081632653061	2.581356405667177	2.441153360879382	2.8246340916556427	2.4782817644665074	[0.0125695, 0.0139322, 0.0128142, 0.0101298]	0.002775583416223526	0.021294966340065002	98	96	96	60	1.3619107571752547	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	121.1928	1.8457	20.5228	18.0	416649.0	0.0	35.0	13.401	4.921	131.4372	222.9379	209.0	136311.0	26.0	497.0	153.4603	16.174519583350047
sub-001_ses-022_task-rest_dir-AP_echo-1_part-mag_bold	[0.0007860614152202937, 0.0007272229639519359, 0.0007250467289719626, 0.0007998531375166889]	[0.007138349452603472, 0.009495254672897196, 0.014866258251001333, 0.023734315353805074]	1	28.053105499732656	1.0298468130748657	0.9906094373262023	0.5821	610.7714	0.09982703550078784	10	1.335113484646195	3.5234837176975664	3.190020442982206	3.566367156414458	3.8140635536960352	[0.00432754, 0.00540207, 0.00512315, 0.00421729]	0.0007603736012242734	0.11654338985681534	749	96	96	60	2.363956613167301	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	9.8629	21.3047	135.2714	32.0	416571.0	0.0	675.0	239.9413	1.6069	303.6068	844.4994	803.0	136389.0	357.0	1435.0	339.6835	44.737390112131834
sub-001_ses-022_task-rest_dir-AP_echo-2_part-mag_bold	[0.0007860614152202937, 0.0007272229639519359, 0.0007250467289719626, 0.0007998531375166889]	[0.007138349452603472, 0.009495254672897196, 0.014866258251001333, 0.023734315353805074]	1	38.59342296094919	1.009922429144385	0.9832656865508028	0.5153	592.0715	0.09982703550078784	10	1.335113484646195	3.253712969816577	3.0548744919704363	3.4818099419129176	3.2244544755663767	[0.00432754, 0.00540207, 0.00512315, 0.00421729]	0.013911476358771324	0.03156152740120888	749	96	96	60	1.9502573408497437	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	30.8363	5.873	43.5825	21.0	416571.0	0.0	161.0	72.345	1.3302	229.8707	537.9359	518.0	136389.0	90.0	995.0	265.605	29.63292681670282
sub-001_ses-022_task-rest_dir-AP_echo-3_part-mag_bold	[0.0007860614152202937, 0.0007272229639519359, 0.0007250467289719626, 0.0007998531375166889]	[0.007138349452603472, 0.009495254672897196, 0.014866258251001333, 0.023734315353805074]	1	54.76854163192513	1.0091965275802133	0.982479228422459	0.4986	310.094	0.09982703550078784	10	1.335113484646195	2.9572095885792744	2.806662555616844	3.2096480901901505	2.8553181199308284	[0.00432754, 0.00540207, 0.00512315, 0.00421729]	0.008252239786088467	0.020593514665961266	749	96	96	60	1.6576785778789804	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	60.243	3.0384	25.674	19.0	416571.0	0.0	62.0	27.6274	2.1306	174.4344	346.3201	335.0	136389.0	39.0	696.0	202.0891	19.81848723255098
sub-001_ses-022_task-rest_dir-AP_echo-4_part-mag_bold	[0.0007860614152202937, 0.0007272229639519359, 0.0007250467289719626, 0.0007998531375166889]	[0.007138349452603472, 0.009495254672897196, 0.014866258251001333, 0.023734315353805074]	1	81.04117350635025	1.0177246886229927	0.9857948195320858	0.5042	133.3548	0.09982703550078784	10	1.335113484646195	2.647836398706876	2.4853360409990732	2.909282301276367	2.548890853845188	[0.00432754, 0.00540207, 0.00512315, 0.00421729]	0.0026721260510385036	0.021384073421359062	749	96	96	60	1.3769694584169407	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	149.9341	1.8646	20.5591	18.0	416571.0	0.0	35.0	13.4161	4.6972	132.108	224.1063	211.0	136389.0	27.0	496.0	153.2345	13.193992661079392
sub-001_ses-023_task-bht_dir-AP_echo-1_part-mag_bold	[0.0004821844660194175, 0.0005951941747572814, 0.0007540776699029125, 0.0009644174757281554]	[0.007741243058252426, 0.010145264417475727, 0.01543044014563107, 0.02489972281553398]	1	36.61760477204876	1.1094526645365863	0.9991609158536584	0.5894	521.7105	0.18809980368991058	86	41.74757281553398	3.3332583491823606	3.0302011654037506	3.386055777995812	3.583518104147519	[0.0100532, 0.0151472, 0.015832, 0.0132204]	-0.00555259408429265	0.10242921859025955	206	96	96	60	2.488314261021582	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	9.5911	22.0303	130.1677	34.0	415953.0	0.0	639.0	224.1374	0.9963	285.2857	807.4895	775.0	137007.0	339.0	1352.0	311.4547	43.678033153526485
sub-001_ses-023_task-bht_dir-AP_echo-2_part-mag_bold	[0.0004821844660194175, 0.0005951941747572814, 0.0007540776699029125, 0.0009644174757281554]	[0.007741243058252426, 0.010145264417475727, 0.01543044014563107, 0.02489972281553398]	1	51.16307975980481	1.1048493479512196	0.9958927043414628	0.525	477.0195	0.18809980368991058	86	41.74757281553398	3.1018021532815303	2.9211708135977292	3.29752207678594	3.0867135694609216	[0.0100532, 0.0151472, 0.015832, 0.0132204]	0.010702167637646198	0.02747350186109543	206	96	96	60	2.0429725601019473	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	30.0702	6.4558	43.0283	23.0	415953.0	0.0	151.0	67.106	0.746	212.0769	509.2114	496.0	137007.0	84.0	923.0	242.7826	29.083721464849077
sub-001_ses-023_task-bht_dir-AP_echo-3_part-mag_bold	[0.0004821844660194175, 0.0005951941747572814, 0.0007540776699029125, 0.0009644174757281554]	[0.007741243058252426, 0.010145264417475727, 0.01543044014563107, 0.02489972281553398]	1	71.82541209897562	1.0989270574146341	0.9975680949268296	0.5123	239.6034	0.18809980368991058	86	41.74757281553398	2.843784430902265	2.705976456239976	3.0574178055516237	2.7679590309151947	[0.0100532, 0.0151472, 0.015832, 0.0132204]	0.0069424849934875965	0.018322747200727463	206	96	96	60	1.7239834884345457	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	53.5148	2.8141	26.0792	20.0	415953.0	0.0	58.0	24.5946	1.5049	162.9711	324.2837	317.0	137007.0	38.0	638.0	183.8758	19.18090252764523
sub-001_ses-023_task-bht_dir-AP_echo-4_part-mag_bold	[0.0004821844660194175, 0.0005951941747572814, 0.0007540776699029125, 0.0009644174757281554]	[0.007741243058252426, 0.010145264417475727, 0.01543044014563107, 0.02489972281553398]	1	104.34570148726824	1.1027207687804865	1.0020175322439027	0.5237	100.2906	0.18809980368991058	86	41.74757281553398	2.5560632688710707	2.403413135197904	2.7879949069162886	2.476781764499019	[0.0100532, 0.0151472, 0.015832, 0.0132204]	0.0021146233193576336	0.019766241312026978	206	96	96	60	1.4284961301167398	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	98.8616	2.1879	21.4308	20.0	415953.0	0.0	34.0	11.8024	4.0861	124.1787	207.9533	198.0	137007.0	27.0	451.0	138.6068	12.712742853909731
sub-001_ses-023_task-qct_dir-AP_echo-1_part-mag_bold	[0.0008966326530612244, 0.0009119387755102042, 0.001060816326530612, 0.0013445918367346941]	[0.003377160306122449, 0.004995616632653061, 0.007857358979591838, 0.013678955102040816]	1	29.49363138237113	1.0593042031958764	1.0216800057731956	0.5861	567.655	0.11042948513273403	6	6.122448979591836	3.347565709779053	3.0379721485820466	3.3968341498631323	3.6078908308919813	[0.00764484, 0.010978, 0.0101774, 0.00797485]	-0.0031529353000223637	0.10134511440992355	98	96	96	60	2.5023259977715306	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	10.0449	20.711	127.7041	33.0	416096.0	0.0	630.0	222.6329	1.1068	282.7383	815.7243	782.0	136864.0	351.0	1361.0	312.5081	50.24388302746229
sub-001_ses-023_task-qct_dir-AP_echo-2_part-mag_bold	[0.0008966326530612244, 0.0009119387755102042, 0.001060816326530612, 0.0013445918367346941]	[0.003377160306122449, 0.004995616632653061, 0.007857358979591838, 0.013678955102040816]	1	40.40885115175258	1.0504250488659792	1.0202079036082479	0.5234	498.8551	0.11042948513273403	6	6.122448979591836	3.0966944916044135	2.9182908180755627	3.3001290869505557	3.071663569787121	[0.00764484, 0.010978, 0.0101774, 0.00797485]	0.011184192262589931	0.02788861282169819	98	96	96	60	2.0474105595291836	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	30.7185	6.4297	43.159	23.0	416096.0	0.0	152.0	68.3485	0.7991	213.646	518.3559	504.0	136864.0	87.0	939.0	246.1637	35.26769055449404
sub-001_ses-023_task-qct_dir-AP_echo-3_part-mag_bold	[0.0008966326530612244, 0.0009119387755102042, 0.001060816326530612, 0.0013445918367346941]	[0.003377160306122449, 0.004995616632653061, 0.007857358979591838, 0.013678955102040816]	1	56.95139296989691	1.04999801	1.022186867422681	0.5101	252.6594	0.11042948513273403	6	6.122448979591836	2.8367521601949015	2.711559006801902	3.055206624155457	2.7434908496273462	[0.00764484, 0.010978, 0.0101774, 0.00797485]	0.006967518478631973	0.018389426171779633	98	96	96	60	1.7245652895624726	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	57.38	2.829	26.2951	20.0	416096.0	0.0	60.0	25.5799	1.4886	166.2481	333.2871	325.0	136864.0	38.0	655.0	188.4526	23.98801597568672
sub-001_ses-023_task-qct_dir-AP_echo-4_part-mag_bold	[0.0008966326530612244, 0.0009119387755102042, 0.001060816326530612, 0.0013445918367346941]	[0.003377160306122449, 0.004995616632653061, 0.007857358979591838, 0.013678955102040816]	1	83.08176752484536	1.056707227525773	1.0261535991752575	0.5198	107.5789	0.11042948513273403	6	6.122448979591836	2.5516895126125223	2.421334623921152	2.7716157854632053	2.4621181284532088	[0.00764484, 0.010978, 0.0101774, 0.00797485]	0.002191595733165741	0.019781379029154778	98	96	96	60	1.4291557986291028	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	122.2996	2.2239	21.564	20.0	416096.0	0.0	35.0	12.4416	3.9054	128.0333	215.6524	205.0	136864.0	27.0	466.0	143.4408	15.94413317082217
sub-001_ses-023_task-rest_dir-AP_echo-1_part-mag_bold	[0.0002844459279038718, 0.00041267022696929234, 0.0005249532710280373, 0.0006803471295060079]	[0.012471864058744992, 0.015014796328437916, 0.0221009726835781, 0.03398344392523364]	1	32.2594186992513	1.0154796050401076	0.9645536955614966	0.5865	556.7458	0.15294189945966755	103	13.751668891855807	3.359380366968709	3.03222580680559	3.3913971914919006	3.654518102608635	[0.0148464, 0.0109054, 0.00931744, 0.00692159]	-0.0013633427442982793	0.10244873911142349	749	96	96	60	2.510175257854562	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	9.9466	20.7327	126.6211	33.0	416152.0	0.0	627.0	220.6654	1.0735	279.7586	805.2641	773.0	136808.0	345.0	1343.0	307.9455	39.84922199277207
sub-001_ses-023_task-rest_dir-AP_echo-2_part-mag_bold	[0.0002844459279038718, 0.00041267022696929234, 0.0005249532710280373, 0.0006803471295060079]	[0.012471864058744992, 0.015014796328437916, 0.0221009726835781, 0.03398344392523364]	1	44.83389439799464	1.0074063499598935	0.9582454476069514	0.5242	487.8442	0.15294189945966755	103	13.751668891855807	3.1267504649592897	2.9339101302834605	3.3275049685569997	3.1188362960374074	[0.0148464, 0.0109054, 0.00931744, 0.00692159]	0.012475898489356041	0.0271945521235466	749	96	96	60	2.0577849160379182	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	31.224	5.5662	42.5844	22.0	416152.0	0.0	148.0	67.0581	0.7714	210.6048	508.5849	496.0	136808.0	86.0	918.0	241.035	25.97860152076464
sub-001_ses-023_task-rest_dir-AP_echo-3_part-mag_bold	[0.0002844459279038718, 0.00041267022696929234, 0.0005249532710280373, 0.0006803471295060079]	[0.012471864058744992, 0.015014796328437916, 0.0221009726835781, 0.03398344392523364]	1	63.519311160267456	1.0101495570454544	0.9610259537967917	0.5125	243.2787	0.15294189945966755	103	13.751668891855807	2.8809071496667076	2.7360321441063835	3.1042620929074403	2.8024272119862985	[0.0148464, 0.0109054, 0.00931744, 0.00692159]	0.007601835299283266	0.01804777793586254	749	96	96	60	1.739809155287508	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	59.8383	2.8603	26.0278	20.0	416152.0	0.0	58.0	24.9167	1.4667	162.2668	324.8771	318.0	136808.0	39.0	635.0	182.778	17.140440107730683
sub-001_ses-023_task-rest_dir-AP_echo-4_part-mag_bold	[0.0002844459279038718, 0.00041267022696929234, 0.0005249532710280373, 0.0006803471295060079]	[0.012471864058744992, 0.015014796328437916, 0.0221009726835781, 0.03398344392523364]	1	92.98077807720587	1.020978602152405	0.9683725839438506	0.5243	102.4964	0.15294189945966755	103	13.751668891855807	2.5999451068850226	2.442918666191548	2.8399030726546837	2.517013581808836	[0.0148464, 0.0109054, 0.00931744, 0.00692159]	0.0026568204630166292	0.019164998084306717	749	96	96	60	1.4439657445232257	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	123.9025	2.2447	21.4036	20.0	416152.0	0.0	34.0	11.9834	3.8886	123.1827	209.0824	199.0	136808.0	28.0	451.0	137.8144	11.419988920446485
sub-001_ses-024_task-bht_dir-AP_echo-1_part-mag_bold	[0.0006376354679802956, 0.0007399014778325124, 0.0008898522167487685, 0.0010717241379310345]	[0.007190798275862068, 0.009501548817733992, 0.01453789157635468, 0.02311918669950739]	4	36.63381194138613	1.1060034568316832	0.9940576111386129	0.5804	659.7758	0.20142577655222674	110	54.1871921182266	3.398451187325152	3.0944437195475087	3.4337099219123646	3.6671999205155825	[0.0194643, 0.0283989, 0.0295297, 0.024503]	0.004291397053748369	0.11300449073314667	203	96	96	60	2.426044042229224	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	10.119	19.9896	128.7471	31.0	416406.0	0.0	655.0	230.544	1.4353	296.0384	828.0383	791.0	136554.0	354.0	1392.0	326.044	44.548093957360834
sub-001_ses-024_task-bht_dir-AP_echo-2_part-mag_bold	[0.0006376354679802956, 0.0007399014778325124, 0.0008898522167487685, 0.0010717241379310345]	[0.007190798275862068, 0.009501548817733992, 0.01453789157635468, 0.02311918669950739]	4	51.34771749297029	1.1037629377227716	0.9906752911881191	0.5169	588.8608	0.20142577655222674	110	54.1871921182266	3.142503595964016	2.9732973676221657	3.3461316694539223	3.108081750815961	[0.0194643, 0.0283989, 0.0295297, 0.024503]	0.016220828518271446	0.030497265979647636	203	96	96	60	2.003240366366155	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	32.1614	5.9158	42.4126	21.0	416406.0	0.0	153.0	70.7555	1.0962	221.6746	523.7527	509.0	136554.0	88.0	956.0	254.0874	29.563391163479537
sub-001_ses-024_task-bht_dir-AP_echo-3_part-mag_bold	[0.0006376354679802956, 0.0007399014778325124, 0.0008898522167487685, 0.0010717241379310345]	[0.007190798275862068, 0.009501548817733992, 0.01453789157635468, 0.02311918669950739]	4	72.43478956326732	1.100388228415842	0.9923152604455445	0.5022	300.0849	0.20142577655222674	110	54.1871921182266	2.8729984589696813	2.744107960933945	3.097455657992492	2.7774317579826064	[0.0194643, 0.0283989, 0.0295297, 0.024503]	0.010019226931035519	0.019148683175444603	203	96	96	60	1.6951593472824333	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	64.7355	3.104	25.209	19.0	416406.0	0.0	60.0	27.0552	1.834	169.7105	334.7303	326.0	136554.0	38.0	662.0	192.3116	19.513782316818833
sub-001_ses-024_task-bht_dir-AP_echo-4_part-mag_bold	[0.0006376354679802956, 0.0007399014778325124, 0.0008898522167487685, 0.0010717241379310345]	[0.007190798275862068, 0.009501548817733992, 0.01453789157635468, 0.02311918669950739]	4	105.28312195886137	1.107775258069307	0.9962835657425735	0.5098	126.3212	0.20142577655222674	110	54.1871921182266	2.5844102560590385	2.4448705114980402	2.8235194014456413	2.484840855233434	[0.0194643, 0.0283989, 0.0295297, 0.024503]	0.003970823250710964	0.020290205255150795	203	96	96	60	1.4068671439553442	1.600000023841858	2.197920083999634	2.197920083999634	2.200000047683716	169.1401	1.9208	20.2794	18.0	416406.0	0.0	35.0	13.0283	4.2658	128.6212	215.1436	204.0	136554.0	26.0	471.0	145.0025	12.926722419448197
